DataType,SortType,ArraySize,Threshold,Time_us
AlmostSorted,Hybrid,6000,20,53.2
AlmostSorted,Hybrid,6000,30,46
AlmostSorted,Hybrid,6000,50,40.4
AlmostSorted,Hybrid,6000,100,38.4
Random,Standard,6500,0,374.6
Random,Hybrid,6500,5,262.8
Random,Hybrid,6500,10,227
Random,Hybrid,6500,20,241.4
Random,Hybrid,6500,30,194
Random,Hybrid,6500,50,173.4
Random,Hybrid,6500,100,167.6
Reversed,Standard,6500,0,179
Reversed,Hybrid,6500,5,95.4
Reversed,Hybrid,6500,10,73.4
Reversed,Hybrid,6500,20,64
Reversed,Hybrid,6500,30,81.4
Reversed,Hybrid,6500,50,84
Reversed,Hybrid,6500,100,88
AlmostSorted,Standard,6500,0,185.4
AlmostSorted,Hybrid,6500,5,98
AlmostSorted,Hybrid,6500,10,71.6
AlmostSorted,Hybrid,6500,20,57.6
AlmostSorted,Hybrid,6500,30,49.2
AlmostSorted,Hybrid,6500,50,47
AlmostSorted,Hybrid,6500,100,42.8
Random,Standard,7000,0,421.4
Random,Hybrid,7000,5,283
Random,Hybrid,7000,10,246.6
Random,Hybrid,7000,20,221.8
Random,Hybrid,7000,30,201.2
Random,Hybrid,7000,50,189.4
Random,Hybrid,7000,100,182.4
Reversed,Standard,7000,0,199.6
Reversed,Hybrid,7000,5,99.4
Reversed,Hybrid,7000,10,78.2
Reversed,Hybrid,7000,20,68.2
Reversed,Hybrid,7000,30,72.2
Reversed,Hybrid,7000,50,73
Reversed,Hybrid,7000,100,92.2
AlmostSorted,Standard,7000,0,205.6
AlmostSorted,Hybrid,7000,5,101.4
AlmostSorted,Hybrid,7000,10,75
AlmostSorted,Hybrid,7000,20,61.4
AlmostSorted,Hybrid,7000,30,51.6
AlmostSorted,Hybrid,7000,50,50.4
AlmostSorted,Hybrid,7000,100,45.4
Random,Standard,7500,0,451.4
Random,Hybrid,7500,5,309.8
Random,Hybrid,7500,10,311.6
Random,Hybrid,7500,20,246.4
Random,Hybrid,7500,30,226.6
Random,Hybrid,7500,50,210.2
Random,Hybrid,7500,100,216
Reversed,Standard,7500,0,232.8
Reversed,Hybrid,7500,5,103.2
Reversed,Hybrid,7500,10,81.2
Reversed,Hybrid,7500,20,75
Reversed,Hybrid,7500,30,82.8
Reversed,Hybrid,7500,50,95
Reversed,Hybrid,7500,100,136.2
AlmostSorted,Standard,7500,0,219
AlmostSorted,Hybrid,7500,5,113.6
AlmostSorted,Hybrid,7500,10,79.2
AlmostSorted,Hybrid,7500,20,64.2
AlmostSorted,Hybrid,7500,30,55
AlmostSorted,Hybrid,7500,50,56.6
AlmostSorted,Hybrid,7500,100,47.6
Random,Standard,8000,0,514.2
Random,Hybrid,8000,5,345.2
Random,Hybrid,8000,10,289.6
Random,Hybrid,8000,20,268.6
Random,Hybrid,8000,30,264.4
Random,Hybrid,8000,50,251.6
Random,Hybrid,8000,100,234.6
Reversed,Standard,8000,0,235.8
Reversed,Hybrid,8000,5,111.8
Reversed,Hybrid,8000,10,102.4
Reversed,Hybrid,8000,20,91.2
Reversed,Hybrid,8000,30,82.6
Reversed,Hybrid,8000,50,88.2
Reversed,Hybrid,8000,100,116.4
AlmostSorted,Standard,8000,0,244.8
AlmostSorted,Hybrid,8000,5,153.2
AlmostSorted,Hybrid,8000,10,83
AlmostSorted,Hybrid,8000,20,68
AlmostSorted,Hybrid,8000,30,66.6
AlmostSorted,Hybrid,8000,50,58.4
AlmostSorted,Hybrid,8000,100,50.4
Random,Standard,8500,0,513.6
Random,Hybrid,8500,5,354.6
Random,Hybrid,8500,10,311
Random,Hybrid,8500,20,286.4
Random,Hybrid,8500,30,288.8
Random,Hybrid,8500,50,264.2
Random,Hybrid,8500,100,247.8
Reversed,Standard,8500,0,244.4
Reversed,Hybrid,8500,5,113.6
Reversed,Hybrid,8500,10,93
Reversed,Hybrid,8500,20,86.2
Reversed,Hybrid,8500,30,86.2
Reversed,Hybrid,8500,50,95.4
Reversed,Hybrid,8500,100,133.6
AlmostSorted,Standard,8500,0,252.4
AlmostSorted,Hybrid,8500,5,114.8
AlmostSorted,Hybrid,8500,10,87.4
AlmostSorted,Hybrid,8500,20,73.2
AlmostSorted,Hybrid,8500,30,72.8
AlmostSorted,Hybrid,8500,50,63.2
AlmostSorted,Hybrid,8500,100,55
Random,Standard,9000,0,548
Random,Hybrid,9000,5,380.2
Random,Hybrid,9000,10,335.6
Random,Hybrid,9000,20,310.2
Random,Hybrid,9000,30,313.8
Random,Hybrid,9000,50,285.8
Random,Hybrid,9000,100,269.2
Reversed,Standard,9000,0,255.8
Reversed,Hybrid,9000,5,119.2
Reversed,Hybrid,9000,10,99.6
Reversed,Hybrid,9000,20,101.2
Reversed,Hybrid,9000,30,91.2
Reversed,Hybrid,9000,50,103.2
Reversed,Hybrid,9000,100,142.8
AlmostSorted,Standard,9000,0,264
AlmostSorted,Hybrid,9000,5,120.6
AlmostSorted,Hybrid,9000,10,92
AlmostSorted,Hybrid,9000,20,77.8
AlmostSorted,Hybrid,9000,30,77.6
AlmostSorted,Hybrid,9000,50,68.6
AlmostSorted,Hybrid,9000,100,58
Random,Standard,9500,0,736
Random,Hybrid,9500,5,394.2
Random,Hybrid,9500,10,353.2
Random,Hybrid,9500,20,325.4
Random,Hybrid,9500,30,320
Random,Hybrid,9500,50,312.8
Random,Hybrid,9500,100,287.4
Reversed,Standard,9500,0,294.2
Reversed,Hybrid,9500,5,121.8
Reversed,Hybrid,9500,10,101.4
Reversed,Hybrid,9500,20,96.2
Reversed,Hybrid,9500,30,171.6
Reversed,Hybrid,9500,50,153.4
Reversed,Hybrid,9500,100,158.6
AlmostSorted,Standard,9500,0,280
AlmostSorted,Hybrid,9500,5,124
AlmostSorted,Hybrid,9500,10,97
AlmostSorted,Hybrid,9500,20,79.6
